STATION_ID,DERECTION,STATION_DISTANCE,LINE_ID
0,1,1300,line2
1,1,467,line2
2,1,435,line2
3,1,314,line2
4,1,288,line2
5,1,219,line2
6,1,716,line2
7,1,745,line2
8,1,329,line2
9,1,263,line2
10,1,1100,line2
11,1,945,line2
12,1,548,line2
13,1,667,line2
14,1,277,line2
15,1,646,line2
16,1,309,line2
17,1,332,line2
18,1,581,line2
19,1,261,line2
20,1,549,line2
21,1,381,line2
22,1,354,line2
23,1,171,line2
24,1,228,line2
25,1,826,line2
26,1,455,line2
27,1,423,line2
28,1,1400,line2
29,1,652,line2
30,1,433,line2
31,1,344,line2
32,1,0,line2
0,0,367,line2
1,0,432,line2
2,0,664,line2
3,0,1400,line2
4,0,445,line2
5,0,386,line2
6,0,767,line2
7,0,281,line2
8,0,526,line2
9,0,238,line2
10,0,411,line2
11,0,534,line2
12,0,298,line2
13,0,553,line2
14,0,213,line2
15,0,396,line2
16,0,561,line2
17,0,485,line2
18,0,431,line2
19,0,699,line2
20,0,828,line2
21,0,1200,line2
22,0,281,line2
23,0,555,line2
24,0,392,line2
25,0,706,line2
26,0,383,line2
27,0,236,line2
28,0,497,line2
29,0,220,line2
30,0,573,line2
31,0,400,line2
32,0,0,line2
0,0,633,line1
1,0,307,line1
2,0,573,line1
3,0,345,line1
4,0,796,line1
5,0,492,line1
6,0,624,line1
7,0,703,line1
8,0,463,line1
9,0,294,line1
10,0,481,line1
11,0,707,line1
12,0,497,line1
13,0,418,line1
14,0,324,line1
15,0,324,line1
16,0,484,line1
17,0,650,line1
18,0,221,line1
19,0,222,line1
20,0,501,line1
21,0,453,line1
22,0,300,line1
23,0,452,line1
24,0,514,line1
25,0,479,line1
26,0,381,line1
27,0,521,line1
28,0,580,line1
29,0,339,line1
30,0,299,line1
31,0,220,line1
32,0,979,line1
33,0,216,line1
34,0,176,line1
35,0,654,line1
36,0,0,line1
0,1,725,line1
1,1,158,line1
2,1,340,line1
3,1,586,line1
4,1,351,line1
5,1,405,line1
6,1,354,line1
7,1,569,line1
8,1,563,line1
9,1,385,line1
10,1,426,line1
11,1,524,line1
12,1,397,line1
13,1,318,line1
14,1,260,line1
15,1,829,line1
16,1,920,line1
17,1,673,line1
18,1,293,line1
19,1,733,line1
20,1,279,line1
21,1,439,line1
22,1,514,line1
23,1,773,line1
24,1,568,line1
25,1,631,line1
26,1,417,line1
27,1,388,line1
28,1,364,line1
29,1,373,line1
30,1,594,line1
31,1,613,line1
32,1,864,line1
33,1,877,line1
34,1,495,line1
35,1,0,line1
0,1,767,line3
1,1,541,line3
2,1,648,line3
3,1,395,line3
4,1,386,line3
5,1,489,line3
6,1,267,line3
7,1,545,line3
8,1,465,line3
9,1,484,line3
10,1,1100,line3
11,1,740,line3
12,1,594,line3
13,1,488,line3
14,1,341,line3
15,1,689,line3
16,1,1600,line3
17,1,519,line3
18,1,485,line3
19,1,1500,line3
20,1,430,line3
21,1,665,line3
22,1,1400,line3
23,1,445,line3
24,1,474,line3
25,1,1300,line3
26,1,342,line3
27,1,446,line3
28,1,220,line3
29,1,355,line3
30,1,432,line3
31,1,449,line3
32,1,508,line3
33,1,282,line3
34,1,689,line3
35,1,0,line3
0,0,701,line3
1,0,273,line3
2,0,577,line3
3,0,420,line3
4,0,402,line3
5,0,231,line3
6,0,363,line3
7,0,410,line3
8,0,387,line3
9,0,1200,line3
10,0,498,line3
11,0,427,line3
12,0,1400,line3
13,0,634,line3
14,0,444,line3
15,0,1500,line3
16,0,503,line3
17,0,499,line3
18,0,1600,line3
19,0,607,line3
20,0,294,line3
21,0,606,line3
22,0,405,line3
23,0,235,line3
24,0,492,line3
25,0,266,line3
26,0,1100,line3
27,0,387,line3
28,0,843,line3
29,0,718,line3
30,0,835,line3
31,0,789,line3
32,0,359,line3
33,0,1400,line3
34,0,0,line3
