Label,Boarding time,Boarding station,Alighting station,Arrival time
168,1009,6,14,1005
2755,1098,23,32,1104
3400,570,30,35,583
926,483,23,34,482
1931,1204,23,28,1207
1918,1089,25,27,1085
4232,500,16,21,509
2316,510,31,35,518
520,757,21,25,750
269,997,4,7,990
1409,524,11,15,516
1243,643,20,26,636
428,978,35,35,976
1007,951,12,25,948
3278,464,16,30,462
1854,654,15,17,652
3314,1123,9,16,1120
70,1133,11,16,1125
1472,963,3,5,965
3850,696,0,5,701
2337,473,3,31,473
3534,599,0,24,598
3516,1018,34,35,1015
1538,1118,23,29,1114
2913,795,11,16,805
3954,891,5,30,898
3188,482,28,33,491
3266,498,17,34,505
735,1232,9,12,1232
2120,470,12,25,472
503,1089,13,16,1082
539,1100,31,33,1097
3060,1314,9,16,1315
3126,505,20,25,505
3143,1138,9,21,1133
2454,513,26,35,518
1930,1110,27,31,1115
3140,849,26,32,850
2577,630,14,22,640
1446,1174,9,21,1174
1548,1002,19,25,995
4035,542,22,25,553
1607,839,22,28,831
4129,536,16,17,538
4243,509,0,2,509
1781,662,20,22,667
3742,1123,2,13,1122
1217,432,3,5,423
2819,476,10,25,475
3709,543,3,4,552
109,887,3,7,885
4241,600,27,29,613
195,570,23,25,570
3968,1119,32,33,1123
3549,680,0,11,686
4351,430,19,23,434
2375,1134,24,33,1132
782,1201,21,27,1204
164,1021,1,27,1020
3624,1161,11,17,1166
1874,530,6,28,530
563,729,3,4,723
2536,1191,7,28,1193
824,547,13,20,542
739,517,19,22,513
1863,540,8,22,546
2441,1191,7,23,1192
3797,434,21,28,431
1135,1123,9,20,1113
2690,513,24,30,519
3448,1247,5,9,1256
1880,565,16,19,559
2817,1113,3,6,1119
3004,564,3,16,564
844,551,7,21,542
2526,975,9,16,983
982,1079,2,5,1068
2845,826,0,9,834
1797,563,12,17,559
4101,565,4,21,569
3189,933,3,33,939
4237,1161,22,34,1169
928,826,13,20,827
3325,1016,7,16,1015
3763,755,0,6,762
2345,1194,9,19,1191
1573,1131,12,18,1130
2182,499,0,6,501
1375,447,12,17,441
2206,1137,3,5,1131
35,562,20,25,555
1344,917,20,22,918
2797,1279,17,23,1282
1878,1121,16,22,1115
47,439,19,26,435
3674,958,0,3,957
2477,490,1,6,488
4273,759,3,14,764
1651,427,0,23,424
879,957,23,29,948
153,545,11,18,540
3211,474,19,20,476
4009,866,3,4,868
3964,654,6,21,658
2604,1187,23,24,1194
3560,1075,0,10,1077
2296,1038,1,6,1041
2336,473,3,6,473
3015,754,19,22,756
2521,974,9,25,969
3075,1128,19,33,1133
2860,536,6,14,534
1783,487,10,21,485
2798,1093,14,15,1088
2197,490,1,6,487
1184,1028,31,33,1024
3847,518,0,4,523
403,488,18,22,481
2830,1265,32,35,1273
1004,517,10,22,514
1895,611,15,17,605
1152,477,26,28,468
1013,602,1,14,603
701,1044,25,32,1036
949,493,16,24,483
2222,649,23,28,654
2061,1341,24,32,1341
3319,946,3,28,955
549,511,19,32,512
2522,452,18,32,459
3248,534,19,25,536
4125,523,8,15,524
2858,951,12,28,953
877,1252,28,35,1247
1917,1130,32,33,1131
3443,877,21,28,877
107,839,22,28,825
2851,537,21,26,534
2304,587,19,21,594
2507,574,20,23,579
764,803,9,18,797
2517,1025,10,17,1027
1152,477,26,28,468
2209,1335,9,21,1343
2847,549,19,22,549
4009,866,3,4,868
2753,1274,10,21,1272
4138,711,9,25,719
2604,1187,23,24,1194
4021,879,24,31,882
402,1044,25,34,1036
930,564,3,19,557
1919,621,13,18,622
3309,431,2,12,429
2607,439,23,26,445
2237,765,6,16,773
4136,503,18,33,509
208,839,14,18,825
3530,1179,0,21,1180
100,1123,9,13,1110
270,931,16,32,930
1758,1277,23,26,1279
1327,456,11,13,454
1459,1222,3,7,1220
1285,521,23,31,516
4034,844,0,6,852
1953,463,8,18,456
2444,447,22,25,445
3494,488,6,30,493
698,1210,25,28,1203
697,507,5,15,497
4174,534,5,9,538
3607,1090,0,23,1092
89,729,27,34,720
1760,1060,3,10,1055
147,522,20,26,510
3602,649,3,9,657
485,515,25,31,512
2862,1282,3,5,1283
3837,978,0,6,988
1288,1105,20,26,1099
199,1236,30,33,1230
254,508,0,4,495
229,443,25,28,436
76,1098,28,29,1095
3325,1016,7,16,1015
3635,723,0,8,731
3563,1242,2,9,1243
1779,1055,19,27,1055
1983,478,0,11,471
1639,623,3,6,620
2844,1085,16,21,1088
278,1174,27,30,1170
2823,551,2,5,549
1685,1333,21,31,1326
4166,517,22,28,524
3172,483,32,35,491
62,478,15,24,465
3742,1123,2,13,1122
393,978,33,35,976
