time_h1,time_h2,time_m1,time_m2,start_m,finish_m,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36
0,0,0,15,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,15,30,16,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,30,45,31,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,45,0,46,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,15,61,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,15,30,76,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,30,45,91,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,45,0,106,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,15,121,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,15,30,136,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,30,45,151,165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,45,0,166,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,0,15,181,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,15,30,196,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,30,45,211,225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,45,0,226,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,0,15,241,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,15,30,256,270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,30,45,271,285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,45,0,286,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,0,15,301,315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,15,30,316,330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,30,45,331,345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,6,45,0,346,360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,0,15,361,375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,15,30,376,390,3,1,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,6,30,45,391,405,3,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,7,45,0,406,420,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,4,3,2,2,1,1,3,3,3,2,2,2,3,2,3,1,1,1,1,1,1
7,7,0,15,421,435,3,2,2,2,3,2,3,3,2,2,3,3,3,2,2,2,3,3,2,2,2,3,2,3,3,2,2,2,3,2,3,1,3,2,1,3,1
7,7,15,30,436,450,3,2,2,2,3,2,3,3,2,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,3,2,2,2,3,2,3,2,4,2,2,3,1
7,7,30,45,451,465,3,2,2,2,3,2,3,3,2,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,3,2,2,3,3,2,3,2,4,2,2,3,1
7,8,45,0,466,480,3,2,2,2,3,2,3,3,2,2,3,3,3,2,3,2,4,3,2,2,3,3,2,5,3,3,2,3,3,2,3,2,5,2,2,3,1
8,8,0,15,481,495,3,2,2,2,3,2,3,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,3,3,2,2,3,2,4,2,5,2,2,3,1
8,8,15,30,496,510,3,2,2,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,5,3,3,2,2,3,2,4,2,5,2,2,3,1
8,8,30,45,511,525,3,2,3,2,3,3,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,3,2,2,2,3,2,3,2,5,2,2,3,1
8,9,45,0,526,540,3,2,2,2,3,3,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,3,2,2,2,3,2,3,2,5,2,2,3,1
9,9,0,15,541,555,3,2,2,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,2,2,2,2,3,2,3,2,5,2,2,3,1
9,9,15,30,556,570,3,2,2,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,5,2,2,2,2,3,2,3,2,5,2,2,3,1
9,9,30,45,571,585,3,2,2,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,5,2,2,2,2,3,2,3,2,5,2,2,3,1
9,10,45,0,586,600,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,2,2,2,2,3,2,3,2,5,2,2,3,1
10,10,0,15,601,615,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,2,2,2,2,3,2,3,2,5,2,2,3,1
10,10,15,30,616,630,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,3,3,2,4,2,2,2,2,3,2,3,2,5,2,2,3,1
10,10,30,45,631,645,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,2,2,3,3,2,3,2,5,2,2,3,1
10,11,45,0,646,660,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,2,2,3,3,2,3,2,5,2,2,3,1
11,11,0,15,661,675,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,3,2,3,2,5,2,2,3,1
11,11,15,30,676,690,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,3,2,3,2,5,2,2,3,1
11,11,30,45,691,705,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,3,2,3,2,5,2,2,3,1
11,12,45,0,706,720,3,2,3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,3,2,3,2,5,2,2,3,1
12,12,0,15,721,735,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,3,2,3,2,5,2,2,3,1
12,12,15,30,736,750,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,2,3,2,5,2,2,3,1
12,12,30,45,751,765,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
12,13,45,0,766,780,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,3,2,3,3,2,5,2,2,3,1
13,13,0,15,781,795,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
13,13,15,30,796,810,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
13,13,30,45,811,825,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
13,14,45,0,826,840,3,2,3,2,4,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,3,2,4,2,3,2,2,2,3,3,2,5,2,2,3,1
