Label,Boarding time,Boarding station,Alighting station,Arrival time
131,404,0,25,540
132,404,0,25,541
222,404,0,15,542
619,404,0,12,543
626,404,0,15,544
1778,404,0,29,545
2009,404,0,29,546
2871,404,0,25,547
2907,404,0,16,548
3517,404,0,16,549
4107,404,0,19,550
4912,404,0,20,551
5121,404,0,29,552
6162,404,0,16,553
6360,404,0,26,554
175,415,4,14,555
263,415,4,12,555
393,413,3,24,555
404,416,2,7,555
561,415,4,16,555
696,419,7,12,556
1007,415,1,14,556
1034,410,1,8,556
1054,405,0,13,556
1172,419,1,18,557
1229,419,7,14,557
1327,417,3,23,557
1374,405,0,29,557
1616,406,0,23,557
1731,411,0,29,558
1915,416,4,12,558
1937,415,1,12,558
1981,412,2,8,558
2068,419,1,3,559
2071,415,0,12,559
2231,415,4,12,559
2464,419,7,17,559
2470,417,5,12,560
2566,412,2,8,560
3161,411,1,23,560
3294,416,6,13,560
3427,415,4,12,560
3446,418,7,16,561
3539,418,7,15,561
3540,419,7,15,561
3665,418,7,20,561
3787,419,7,19,562
3914,419,1,29,562
3958,417,5,6,562
4115,416,4,12,562
4127,419,7,29,562
4254,415,4,7,563
4262,415,4,7,563
4634,415,4,9,563
4696,412,2,11,563
4700,415,4,12,564
4726,415,0,4,564
4940,412,2,12,564
4965,417,5,12,564
5038,413,2,20,565
5156,416,5,15,565
5174,412,2,12,565
5189,416,2,7,565
5215,405,0,14,565
5238,418,7,15,566
5384,417,3,18,566
5412,419,7,12,566
5504,419,7,16,566
5588,416,2,29,567
5595,415,4,11,567
5612,418,7,20,567
5635,417,3,7,567
5770,419,7,26,567
5940,415,4,17,568
6110,416,6,16,568
6111,417,6,15,568
6253,412,2,18,568
6333,416,2,6,569
6342,416,2,12,569
6415,415,4,15,569
6665,416,6,13,569
87,429,1,20,570
96,431,14,16,570
129,432,3,18,570
141,433,4,14,570
162,433,4,22,570
188,433,9,30,570
189,433,9,30,570
190,433,10,30,570
218,425,0,18,570
253,420,4,15,570
255,434,6,21,570
259,434,2,7,571
335,428,9,12,571
402,421,6,13,571
418,431,2,17,571
658,420,4,20,571
724,425,0,26,571
760,423,7,16,571
765,431,8,16,571
787,420,6,11,571
809,430,1,21,571
888,427,12,21,572
982,432,1,12,572
1028,425,6,16,572
1035,433,12,20,572
1047,434,5,12,572
1165,434,6,17,572
1326,431,11,16,572
1352,434,10,15,572
1377,434,16,26,572
1407,433,4,18,572
1448,430,1,7,572
1493,427,7,18,573
1499,433,4,17,573
1500,433,4,17,573
1506,427,12,24,573
1667,434,2,7,573
1680,433,4,17,573
1744,431,14,21,573
1802,430,1,18,573
1881,432,3,7,573
1949,433,12,29,573
2084,423,4,12,574
2146,434,2,12,574
2188,433,4,6,574
2192,432,29,32,574
2205,423,7,20,574
2224,429,10,16,574
2265,429,9,16,574
2296,427,7,18,574
2305,423,7,16,574
2384,431,2,16,574
2385,431,2,16,574
2482,432,3,21,575
2513,423,7,15,575
2545,431,2,5,575
2552,421,2,17,575
2673,421,2,20,575
2682,431,14,21,575
2705,425,5,12,575
2708,433,12,21,575
2715,423,7,12,575
2826,434,15,16,575
2839,429,0,21,576
2867,433,12,19,576
2941,425,0,15,576
2958,429,9,31,576
2966,433,4,16,576
2990,431,2,7,576
3029,429,13,21,576
3038,421,6,19,576
3060,434,16,29,576
3257,434,2,25,576
3426,434,17,27,576
3508,434,17,27,577
3509,423,10,29,577
3577,428,20,30,577
3587,423,4,7,577
3618,423,7,17,577
3700,432,1,18,577
3718,430,1,4,577
3720,431,2,20,577
3737,423,7,20,577
3742,432,3,13,577
3766,433,4,18,578
3832,434,5,7,578
3876,431,2,18,578
3932,427,12,24,578
3998,421,2,17,578
4003,427,12,21,578
4074,421,5,12,578
4108,432,15,21,578
4136,421,2,12,578
4212,424,4,15,578
4301,432,3,12,578
4350,421,5,29,579
4351,421,5,29,579
4352,421,5,29,579
4353,421,5,29,579
4473,429,10,21,579
4488,432,3,16,579
4528,433,4,12,579
4529,433,4,12,579
4539,423,7,18,579
4540,423,4,17,579
4629,427,7,12,580
4630,427,7,12,580
4643,421,2,18,580
4669,434,12,14,580
4774,434,6,16,580
4775,428,12,19,580
4782,434,2,23,580
4819,423,7,14,580
4859,427,7,14,580
4869,427,7,20,580
4983,423,7,18,580
4994,427,7,17,581
5025,420,4,7,581
5274,428,9,16,581
5284,431,2,18,581
5291,434,6,19,581
5335,429,10,16,581
5364,420,7,12,581
5399,433,12,21,581
5418,425,5,18,581
5439,430,1,16,581
5511,431,2,5,582
5563,433,12,31,582
5585,434,5,16,582
5781,431,2,29,582
5836,421,2,3,582
5963,434,4,30,582
5964,434,4,30,582
5965,434,17,28,582
6071,434,16,26,582
6072,434,16,26,582
6089,430,1,2,582
6093,431,11,16,583
6094,431,11,16,583
6107,425,0,20,583
6161,423,7,12,583
6165,431,2,29,583
6213,427,7,20,583
6222,420,4,12,583
6265,428,12,18,583
6286,429,0,18,583
6329,427,7,15,583
6410,427,7,15,584
6452,425,0,17,584
6500,420,4,26,584
6523,431,2,12,584
6602,431,2,16,584
6606,433,4,14,584
6611,433,10,29,584
6679,425,6,19,584
6696,423,7,20,584
6704,423,7,31,584
0,443,3,15,585
13,443,3,18,585
39,442,7,16,585
70,445,4,17,585
105,448,0,11,585
109,446,6,16,585
110,435,0,15,585
117,442,7,12,585
119,435,5,9,585
120,448,2,18,585
173,448,5,7,585
208,449,12,16,585
213,435,5,15,585
241,442,2,21,585
270,439,12,18,585
329,449,10,18,585
342,442,2,18,586
378,449,15,21,586
413,448,2,9,586
416,435,0,31,586
469,437,6,13,586
503,449,12,18,586
518,449,2,18,586
525,435,5,12,586
555,443,18,28,586
863,437,14,20,586
871,444,4,16,586
873,449,10,22,586
932,442,2,31,586
954,442,2,12,586
965,440,5,18,586
979,440,6,18,587
1074,449,15,21,587
1077,435,6,18,587
1098,439,12,22,587
1107,446,6,18,587
1137,442,7,30,587
1180,442,7,14,587
1230,439,12,18,587
1257,446,19,22,587
1337,438,4,18,587
1346,439,5,20,587
1435,436,3,16,587
1456,448,5,7,587
1472,439,12,16,587
1473,445,22,23,587
1515,437,18,20,588
1531,440,20,22,588
1552,444,4,7,588
1617,445,15,16,588
1646,440,17,24,588
1661,438,18,21,588
1677,446,5,14,588
1682,440,17,27,588
1691,449,2,18,588
1712,437,14,21,588
1713,437,14,21,588
1732,440,12,21,588
1738,446,22,26,588
1759,447,5,16,588
1766,442,2,7,588
1772,440,1,7,588
1786,436,11,12,589
1811,444,10,12,589
1820,449,25,29,589
1824,438,15,21,589
1895,442,2,8,589
1925,448,2,16,589
1954,443,3,15,589
1959,435,6,17,589
1975,437,16,28,589
2023,448,0,18,589
2028,437,16,26,589
2032,447,9,15,589
2033,448,2,17,589
2036,438,4,15,589
2120,447,5,15,589
2147,440,12,16,590
2183,440,20,26,590
2240,442,2,7,590
2277,446,19,23,590
2306,438,4,20,590
2330,447,9,15,590
2345,448,2,3,590
2394,449,2,18,590
2453,448,6,21,590
