Label,Boarding time,Boarding station,Alighting station,Arrival time
37,403,9,21,390
248,400,7,12,390
532,399,1,4,390
795,393,1,21,391
853,402,27,28,391
1237,400,7,35,392
1291,402,8,15,392
1538,400,7,20,393
1606,403,5,9,393
1997,398,2,6,394
2003,399,2,5,394
2034,393,1,16,395
2162,393,1,33,395
2259,393,2,27,396
2316,400,6,7,396
2422,393,1,5,397
2805,402,8,33,397
2830,400,6,29,397
2899,402,8,33,398
3036,398,2,6,398
3170,399,6,26,399
3173,403,3,6,399
3384,399,7,9,400
3593,393,1,5,400
3725,396,5,9,401
3778,400,6,14,401
3796,399,1,5,402
3809,400,6,31,402
3904,399,1,5,403
4330,398,2,7,403
4644,395,5,35,404
4908,393,1,25,404
62,417,18,26,405
171,412,10,34,405
220,416,8,13,405
229,407,2,6,405
258,407,33,35,406
302,406,7,17,406
487,417,18,25,406
509,418,9,15,407
1158,417,18,27,407
1206,406,7,9,407
1306,416,8,11,408
1348,410,9,11,408
1349,410,9,11,408
1350,410,9,11,408
1529,416,8,9,409
1530,416,8,9,409
1547,416,8,28,409
1720,407,2,18,410
1862,406,2,20,410
2126,407,34,35,410
2252,411,5,14,411
2463,408,8,12,411
2468,408,8,27,411
2516,405,6,31,411
2657,406,1,18,412
2734,416,17,27,412
2752,405,10,18,412
2774,407,34,35,413
2982,416,8,35,413
3017,405,10,29,413
3355,418,9,15,414
3434,407,1,5,414
3435,419,15,34,414
3543,416,8,9,414
3607,414,6,8,415
3714,411,3,5,415
3751,416,8,18,415
3913,410,13,19,416
3930,408,8,22,416
3964,414,11,30,416
4080,417,18,28,417
4350,417,13,25,417
4430,414,7,11,417
4570,415,29,31,417
4583,406,7,9,418
4688,406,1,19,418
4778,414,7,28,418
4917,412,3,30,419
4937,407,1,17,419
4976,414,6,29,419
21,432,8,17,420
53,421,1,26,420
100,426,7,28,420
210,426,7,28,420
222,424,18,29,420
283,420,2,6,421
404,432,2,17,421
459,431,27,31,421
508,432,1,12,421
510,432,1,32,421
519,430,18,34,422
647,425,5,6,422
695,424,18,25,422
749,421,2,18,422
827,425,4,32,422
938,427,6,10,423
964,422,2,6,423
1079,421,1,6,423
1080,434,3,16,423
1403,432,2,22,424
1404,432,2,22,424
1440,420,2,6,424
1673,421,11,29,424
1710,432,8,17,424
1731,421,2,6,425
1954,424,4,26,425
1979,421,2,6,425
1991,426,7,27,425
2069,432,2,21,425
2187,432,2,16,426
2240,426,7,9,426
2357,433,20,24,426
2377,421,11,18,426
2560,422,22,26,426
2591,424,5,7,427
2693,433,20,24,427
2720,424,13,31,427
2769,423,4,6,427
2794,432,8,35,428
2801,432,8,35,428
3066,421,11,20,428
3081,429,22,28,428
3113,433,2,3,428
3116,432,8,20,429
3247,432,33,35,429
3385,427,20,30,429
3539,432,8,20,429
3610,428,7,15,429
3612,431,2,15,430
3689,421,1,5,430
3770,422,2,6,430
3772,432,1,8,430
4034,432,8,30,430
4119,422,1,3,431
4140,430,18,26,431
4266,434,9,15,431
4328,420,20,27,431
4337,424,13,26,432
4446,420,20,26,432
4447,423,5,19,432
4533,421,2,6,432
4539,423,5,16,432
4543,431,2,19,433
4614,426,7,21,433
4618,432,8,21,433
4679,431,2,18,433
4680,426,6,11,433
4779,431,27,28,434
4871,432,8,31,434
4906,421,1,5,434
4991,421,1,6,434
40,438,3,5,435
46,437,2,18,435
114,443,6,29,435
239,449,0,1,435
362,438,5,7,435
415,449,0,2,436
465,437,1,12,436
516,441,6,35,436
551,443,8,11,436
555,441,6,8,437
568,440,4,15,437
619,449,0,1,437
620,449,0,1,437
677,449,18,27,437
797,440,7,33,438
809,437,1,6,438
888,437,27,28,438
1157,438,31,35,438
1168,440,4,15,439
1234,441,6,29,439
1284,443,33,34,439
1307,441,27,29,439
1522,439,11,15,439
1556,439,11,19,440
1604,449,0,12,440
1608,441,6,35,440
1780,449,9,28,440
2038,435,1,5,441
2164,449,33,34,441
2293,438,4,6,441
2362,442,13,20,441
2440,444,30,31,441
2449,441,4,25,442
2454,437,3,8,442
2586,438,5,7,442
2732,443,6,14,442
2766,442,13,26,443
2770,437,2,28,443
2824,439,11,13,443
2825,439,11,15,443
3097,444,14,18,443
3161,438,4,17,444
3203,438,4,5,444
3212,441,7,22,444
3215,439,7,35,444
3221,445,9,28,445
3313,444,6,30,445
3390,443,6,29,445
3448,438,3,5,445
3740,437,10,33,445
3761,449,9,15,446
3855,437,27,29,446
3878,449,0,29,446
3884,438,4,18,446
3903,442,13,25,447
3962,441,7,32,447
4139,443,8,22,447
4197,441,7,11,447
4211,441,7,33,447
4234,441,4,6,448
4488,438,29,31,448
4522,447,10,28,448
4650,438,4,24,448
4796,445,9,22,449
4857,446,16,29,449
4965,448,17,25,449
5007,440,6,32,449
55,450,19,26,450
72,453,2,6,450
238,450,19,27,450
285,452,10,34,450
339,452,13,18,450
